Paiwan,English
yini amin tji kama a kacaljsiyan tji kina paran,No my father is Paiwan and my mother is Han Taiwanese
saigumacaqu,do
pakata,About
djaljemedjem,should
sinane,be
pukukan,chicken coop
vinaljake aya tjen,We said we would cut it
numatjany nia ljuljuljuljuing,We will pick it up when it falls
djaungu,pickle
izua tu ita qadav vaik amen a maciyuciyur a kivangavang,One day we all went on an outing together
manu izua tjimadju a kipaulaula aya,There she is feeling sorry for herself
zangalu,refueling
aza mare rava sa venecivecilj anga taza qavai aza mere rava,Those two are actually cooking
kateceken pebucapebucaq,He was foaming at the mouth not five minutes after the injection
uri maka anema itjen a sema taihuk nutiaw maka hikuki,How are we going to get to Taipei By airplane
tiaken tjaljumaza ku picul,My power only goes so far
cemel,medicine
alji,straw
neme aya name,It is going to change
sikuda inialiaw a ku kinljang,Do not I do not know much about it
azua si kaqiljiqilji aza senay kaumaya,Probably very reluctant to publicize the poems
a semann vaqu a seman xx a seman vawa,Preparation of millet cooking and brewing of millet wine et
a ku drava,My friend is your mom
tadjaljeng,bunch
nutiav tjara ku cugi timadju,I will return to him tomorrow
ku kakisusuan tjayamadju namayatazua,I checked with them to make sure it was true
ui nu izua inika nu tjasipaqayan ui,If not try it on first
ui izuamen a maciur izua tua kakanen,Yeah we will get something to eat together
a ni keimi a kaka,Ko Yumeis sister
namayatazua tatuluan na tja matjaljaljak tasicuayan,This is what our parents taught us before
paqulja,sidelight up
sadjsadj,cicada
azua cekui aza secevung ta caucau a semukub,That table Bow when you meet someone
avan nu ika tjen na masiqeceng tua qidev a migani,It is just that if we are not wearing sunglasses
dremasi,dry
cemekalj,lift off
varung,psychosocial
aza ita djalan pizua ta ita a suidu,There is a faucet for every road
timadju a napacun,He is the one who saw it
tenget,leisure
kilalaing tjanua en,Taking care of me
pay qa cekeceki ika temulu,I told him to stab it but he did not dare
qaca ravac,Very tall
ini ti Camak aken,No I am Camak
avan a ikatjen a pinaula,I am afraid we are not favored
lizuk,peacefully
inia namaya ta sicuayan a maruquruqu a pugu saʼamaya nu cemapacapaitjen,It is not like the old days when we used to bake the taro moms and they would roll around on the stove
ika sun a taqed kisalangeda sun sakamaya aya ti vuvu,You do not sleep but you listen What did Grandma say to me
kivadaqan ti rungrung yu ka tjumaq sa aya,When Rong Rong came home I ran to ask him
pangtjez sakamaya tja tjumaq taqed ayain aken amayatazua,I have to go home and go to bed no matter what That is what he told me
nakuya seman vililj itjen,You cannot look down on people
tucu ljemtu anga aken ku siniljavac a semevalj aza ku tiveljatan kata vakela sake vayk a kiciur tjaikama a qemaljup,Now that I have grown up I carry my bow and arrows and go hunting with my father
wamalu qaca,Wow So big
izua seman viirilj ta kacalisiyan tazua,Does anyone look down on the Aborigines
aw a tja ljinicek a kasiw aw avan azua tja pavasakan anga,And then the shortened timber then we have to organize the place where they are stacked
sanengelien,I will be laughed at
tjagaraus,Dawu Mountain
vangvang,animal giblets
ana minseq ana matucua nga tja qinaljan,That is why the tribe is so peaceful
patjavat amen ama aya izua i gadu,We moved to the mountains of Abaja
a si pacucun anga ta ku kama tjanuaken tuazua,My father was watching me at that time
a ka tucu a zidai tjayau,Take advantage of the times
ari vaiki aya taqaljaqaljan vaike tjiyamadju aya,Let us all go together Let us go
nu mapalisi a patagilj cemevulj ta singilj a pasazua ta kinasizuanan na tja vuvu a pukelju a kisenay,During the formal ceremony the priest chants the song of welcoming the ancestors and faces the direction where the ancestors came from
aza taqaljaqaljan mecevucevun,Gathering of tribesmen
ka taqed aken ljamarekaka,When I am asleep
avacu a anema maulaulav aya,What is this Said he was lost
nutiav,tomorrow
ui uli matjatjan,Yes and pick up water
nukemeljan anga ti kina ki tja kacuvaw a maumaq aya,Now that mom knows she will have to take him home
aicu,This one
kuravak,wife brother
ta quma a kavuavuan,It is a farm for a farm
liav,many
kumalji a sanne busin makaya,Even hats can be made
liaw caucau tjenglay tu qaljemeqem,A lot of people like sweetness too
maqati a sucaqeven,You can turn it on
timadjuanan a sauqaljay sakamaya a papungadan,The man should get the name first
keman,enjoy together
nasuljivat anan sun,Are you all right
ti sedjam a ngadan na ku kaka a uqaljay,He is my brother his name is sedan
a sema sivitay na kicapilj sun ta,In the army he participated in the gun battle
qaw kamayatazua azua ku ramaljemaljeng vaik azua kama na ku valjaw,Only after my parents had said so did my husbands father go home
qipu izua,Yes
anema tjinvavavan nimadju a sema Takau,What bus did he take to Kaohsiung
pusapuy,ignite
sipatatavelavelak,continue
akuazua nuaya itjen,Why
djemeli saʼamaya tia tjadrava,My friends will be laughing all the time
ka vililj anga neka anga nu venarung tua pasedjam tu nemanga tjanuamen a pimasantaljan,In the end no one wanted to borrow anything from him
na e,at that time
a pasazua itua qinaljan ni kuljiljiljilji,Traveling to the tribes of Gulerak
tima a ngadan ni tjama,What is your fathers name
pazangazangal,difficult
liljuk ka,It is Mulberry
ika ma pungar lja,It is not gout
ljavaus,female name
izua nu secevung itjin tua nu izua qatjuvi kacinitjin,Sometimes we encounter poisonous snakes and even get bitten
uri palamu ki tjumaq,I will be back in a minute
Camak neka anga nu tja paday a vinava sau vaiku a veneli,Camak our home is out of rice wine please go and buy some
azua nanimitja ljakua,That was our land But it is not
kemac,bite
nama cingki azua sinikava niamadju ui,They are wearing clean clothes
singsing,bell
pazangal a matjatjan satje lalja,Because it is tiring to carry water and boil it
pai manasika papuvarungin na Cemas angautan a sihu,So God does work good in our government
pasa,to
maljiyan tu sanguaq a kinesa nimadju a lukuc katua djuadjuya a paday izua nan a cinapan a vutjulj na vavuy tjuruvu a namadjaulja ta saluman sa nacumali a timaimanga izua ta nia siubay,The ferns and sticky rice she cooked were delicious as well as the braised pork with macaw pepper and wild boar meat The flavors attracted many customers and everyone lined up at our stall
tjadjaljeng anga ljaviya aya,The five segmented awn is already a handful thick
ini a tja pipadrangan uta a tja kadjunangan a paqetelen a mavan a tjalja sinan pazangalan a tja kinaizuanan,Because we live in harmony with the mountains and forests which is also the delicate relationship between nature and mankind
masulem,in the evening
masa,possible
avan nazua marekakaka,They are brothers and sisters and brothers and sisters
matazua,Just like that
uzi zuanga nu akjak nu vuvu aya za se tjarivavav a taqaljaqaljan,The upper tribesmen say you have children and grandchildren
au anemacu,And then what
qiladju anema su kanen,Have a seat What would you like to eat
kasicuayan aza ramaljemaljeng matucu angata,That is what old people used to do
aljak aken nua paiwan zuku,I am from the Paiwan
malji tjen a uli kemuda a mikakuda,We do not know what to do
qau nutja zemangal a maruqu avali sana lje ladruq a qiljas satja ruqizing avali uri tja bulai azua cuvuq nua tamanigi,Therefore the longer the windy season is the better the onions will be and the more delicious they will be
qaw ka kakedriyan anan aken kicaquan ta aicu a vaik a magadu,When I was young I learned about activities in the mountains
azua ta tjumatjumaqan tiamadju mamaw,So did the head of the family
bulay a sikaikican azua mayatazua ika marivurivu,This is a good way to conduct meetings without causing disputes
tuazua sa nia qinayam azazua a pini zua i ljangian aya,We inspected the stuff that was in the locker
singilj,stalk
kalikalin umalji a kapaz,Even the roots have to be dug up
katjauledaw sun izuanga tauta,Since you were born
manumaya pacevacevak aken djaljepan inika ken a djemamadjamaq,No wonder I am mistaken and that is why I cannot catch any of them
manuka,Results
idapu a mici au,It is on Dawu Street
nu ljevavavitjen tua basu nakuya a kiljuvaq,Do not race to be first on the bus
mayatucu a cinunan ku ayain qaw matjalaw tiamadju ui,This is what hunters are supposed to do That is what I said to them so they got mad
a ui za valji kasicuayan inaya ta anema cukulu,That is right What was the old board made of
makakincengelj masan qudjidjilj a kalevelevan,In the afternoon the sky turned red
izua i ljaljanguyan timadju uri malalumalj ta ljemanguy timadju nusauni,He is at the swimming pool He is going to compete in a swimming competition later
vuyu,chicken
nu aicu nu cemacavu tjen,If we are going to wear footwear
imazamen azania tjara vaivaikanga kipusengesengan tua nia vinarungan,You can only go your own way here
a kina vaquan,Millet varieties
tjelu,three
mapida tiamadju a tacemekeljan,How many people in their family
ljakua liaw ca namalaic yu,But what about the many wilted ones
uta,again
naqaca zaljum i pana tu tazua,The water by the river was already very high
lja macay a,Because you are dead
ui maqati a puzuanan ta qalum,Yes you can put some meat
djemuwastemupu,wipe
saka namalatjak itjn ta kakilaming,And we are in a hurry to harvest
sinikiljivak itjen nua Cemas,God is looking out for us
maleva ken aravac a pacun tjanusun,It is so good to see you
pavalit,replace
ulja tjen na mavetu a kilumu,That way we will be full in no time
ayaing naʼen naza tiljelje yu,Let us do this to me
liavaravac,much
matazuamen dri a sarekuya qemaung amen a zuma,We were all sad and some of the clan cried
ui,Yeah it is
lja kamayan sakamayan nu tjengelayan tjaimadju aya aken,May you still keep your joy in her
nanguanguaq sun ti lulji a ken,Hello I am lull
itjara mamamaw a tjengelayan tjanuitjen a mareka aljak a mapuljat namayatazua sakamaya,There is no favoritism in our love it must be the same
ui vaik aken a malap tua zuking,Okay I will go get the cloth
tjaukameljay minqut anga quljivangeraw,The rain has just stopped and the rainbow is coming out
aza sezetjen,About the ghostly bed
gidi,side
au sinan siyaw sa ljameljami,Then we will add a little ginger and make a soup
mayanan ini anan aku makasuap tai maza,Wait a minute I am not done sweeping here yet
kicauv,quilt
put Ialju naya zipung ma tjaiya teku,Because the Japanese live down there
siqivuanga a ljemita a ngadan ,I am going to call the names again one by one
sirutemulu anema muri tja pacunan a sema gadu,Teacher what are we going to see in the mountains
vaika men na mecevucevung mazua sa nia kani,We will get up and go to his place and have a piece
tji kaka izuanga tapulu katu alu a cavilj,My brother is years old
mapulat anga a velin a vurati,All the sweet potatoes are sold out
ui matu napacun anga aken i nanhe lja,Yes I think I have seen it before in Namhwa
pavaiyan tua valjitjuq nu kadjaman timadju,They pay first thing in the morning
namalaic anga aya itjen ui,It is dried up we say yes
manu kemuda avan nazua tja bulay a nu kancing,So what It is better for your relationship
ljaku timadju nu djemumaka,But if they find
semekez itjen,Do we need to stop
kimaya a izua tu ita milingan,It takes about an hour
paiwan,Paiwan one of the indigenous peoples of Taiwan
sa lilalidru tua qau a tjalja ladruqan aya,Tell them to pick sawn bamboo
nu marivurivu tiamen a i vecekadan ikamen a pulingalingav tu pasainu,Whenever they argue we middlemen really do not know where to stand
nu ika tja sangatjan na izua tjen a na kiteku sakamaya,If there were no landslide protection we would always keep our heads down
sivalian,When the wind blows
pucekelj,Getting Married
qali,friends
nu maka ljakai angaman a marevetjevetjek,When we sisters are done
aw azua quljaw azua quljaw kina,So that color that color
nu makaigi ta maqacuvucuvung ka sicuayan,Previously we had to recruit young people
ika amin imaza ni,It is not the only place
ika ma aya macunuq cu a kadjunangan,Prevention of land slippage
